#{"t_start": 1761214503.735703, "env_id": "None"}
r,l,t
1360.4293,1500,9.565336
-1770.7133,1500,9.565336
443.04752,1500,9.565336
-3846.0269,1500,9.565336
-701.53766,1500,9.565336
1376.1942,1500,9.565336
1467.5675,1500,9.565336
654.6781,1500,9.565336
1445.1277,1500,13.432578
1233.6226,1500,13.433579
877.081,1500,13.433579
-5682.7026,1500,13.433579
844.84924,1500,13.433579
-4148.017,1500,13.433579
1478.9686,1500,13.433579
-139.84245,1500,13.433579
-1214.6575,1500,17.817974
1373.8901,1500,17.817974
80.151855,1500,17.819025
554.11646,1500,17.819025
1168.9761,1500,17.819025
1004.3471,1500,17.819025
1494.5774,1500,17.819025
1485.9524,1500,17.819025
-748.18427,1500,21.08589
-431.91736,1500,21.08589
-86.316956,1500,21.08589
1349.5992,1500,21.08589
692.1368,1500,21.08589
-1375.9866,1500,21.08589
1416.2731,1500,21.08589
989.8621,1500,21.08589
-1437.8223,1500,25.034194
1347.8884,1500,25.034194
52.93086,1500,25.034194
1498.445,1500,25.034194
1436.4069,1500,25.034194
1280.6293,1500,25.034194
-2891.1267,1500,25.034194
1461.4297,1500,25.034194
939.93164,1500,27.935005
1108.9657,1500,27.935005
424.21808,1500,27.935005
1453.7275,1500,27.935005
1399.3263,1500,27.935005
573.00244,1500,27.935005
-2106.5183,1500,27.935005
-9.494704,1500,27.935005
-1749.7659,1500,40.884761
968.25494,1500,40.884761
830.5308,1500,40.884761
1135.6908,1500,40.884761
1438.6982,1500,40.884761
1304.684,1500,40.884761
1371.4902,1500,40.884761
-69.915794,1500,40.884761
-14587.227,1500,43.923713
1470.5779,1500,43.923713
-6916.6665,1500,43.923713
1468.2083,1500,43.923713
1335.5747,1500,43.923713
1365.1508,1500,43.923713
1399.4911,1500,43.923713
1475.3466,1500,43.923713
898.50775,1500,48.615929
1475.5692,1500,48.615929
1467.0812,1500,48.615929
1360.9768,1500,48.616926
1499.8976,1500,48.616926
1375.6215,1500,48.616926
801.6459,1500,48.616926
1499.2299,1500,48.616926
337.91006,1500,52.311404
866.1621,1500,52.311404
1484.3258,1500,52.311404
1461.9725,1500,52.311404
880.9088,1500,52.311404
1478.0834,1500,52.311404
1495.4384,1500,52.311404
-2145.5032,1500,52.311404
-806.18616,1500,56.614621
1482.3315,1500,56.614621
1458.2599,1500,56.614621
1267.0448,1500,56.614621
1368.7336,1500,56.614621
1475.708,1500,56.614621
1420.6733,1500,56.614621
1387.101,1500,56.614621
1065.3783,1500,60.320903
-3193.6802,1500,60.320903
1461.5317,1500,60.320903
1462.0265,1500,60.320903
1289.3881,1500,60.320903
1410.3866,1500,60.320903
1483.1344,1500,60.320903
1477.6123,1500,60.320903
918.7826,1500,64.593736
-3113.1099,1500,64.593736
-812.9942,1500,64.593736
1463.8413,1500,64.593736
968.5601,1500,64.593736
1258.9651,1500,64.593736
946.3161,1500,64.593736
806.4251,1500,64.593736
177.41263,1500,75.583679
1480.5815,1500,75.583679
1290.6434,1500,75.583679
1471.9556,1500,75.583679
1445.6249,1500,75.583679
1486.0542,1500,75.583679
285.10873,1500,75.583679
1499.7214,1500,75.583679
1499.6488,1500,78.256169
-975.8588,1500,78.256169
1381.9409,1500,78.256169
1398.6913,1500,78.257158
1480.1193,1500,78.257158
1458.1732,1500,78.257158
1116.8925,1500,78.257158
879.88226,1500,78.257158
1234.9706,1500,81.825245
1141.4034,1500,81.826233
1090.2256,1500,81.826233
1482.6432,1500,81.826233
-2394.1697,1500,81.826233
1361.1466,1500,81.826233
1453.7592,1500,81.826233
1460.9973,1500,81.826233
1343.5056,1500,84.653967
1169.4792,1500,84.653967
1297.3706,1500,84.653967
1336.7837,1500,84.653967
1412.0548,1500,84.653967
1062.8046,1500,84.653967
1454.6542,1500,84.653967
1231.0092,1500,84.653967
1469.439,1500,88.267839
16.450691,1500,88.267839
1491.3146,1500,88.267839
1476.7822,1500,88.267839
1393.5314,1500,88.267839
1455.9751,1500,88.267839
1409.8379,1500,88.267839
1050.4236,1500,88.267839
-4052.7249,446,88.799339
1289.5398,1500,91.035738
1051.5359,1500,91.035738
849.64496,1500,91.035738
1495.0669,1500,91.035738
1349.4175,1500,91.035738
1466.2737,1500,91.035738
-656.85565,1500,91.035738
1428.3916,1500,92.484252
1182.4279,1500,94.516634
1440.5884,1500,94.516634
1108.0583,1500,94.516634
1410.8516,1500,94.516634
-338.1755,1500,94.516634
1333.4062,1500,94.516634
1310.4019,1500,94.516634
-23876.84,409,102.862335
1378.3844,1500,102.919783
1356.9458,1500,105.164307
-1485.8447,1500,105.164307
1489.6233,1500,105.164307
-81.21196,1500,105.164307
1283.5798,1500,105.164307
-1410.3923,1500,105.164307
1461.2272,1500,106.753045
1422.3978,1500,106.808114
1469.1223,1500,108.980803
1448.9443,1500,108.980803
1415.3948,1500,108.980803
1493.0408,1500,108.980803
1443.6036,1500,108.980803
1405.0679,1500,108.980803
1440.7808,1500,109.47876
1409.3356,1500,109.528998
1468.5048,1500,111.665222
1471.3364,1500,111.665222
1432.7959,1500,111.665222
1127.4614,1500,111.665222
943.69354,1500,111.665222
1421.5938,1500,111.665222
1464.8491,1500,113.080725
-542.833,1500,113.146064
1357.8643,1500,115.318569
1465.77,1500,115.319622
1491.2278,1500,115.319622
1293.7976,1500,115.319622
1453.9884,1500,115.319622
1472.0464,1500,115.319622
1495.0647,1500,115.85961
1237.5874,1500,115.919263
-1132.2084,1500,118.094462
-15045.365,1500,118.094462
763.4573,1500,118.094462
1405.3989,1500,118.094462
1366.2722,1500,118.094462
1439.1344,1500,118.094462
-74572.67,397,119.419524
1489.2255,1500,119.451806
1478.1075,1500,119.504251
1442.1511,1500,121.60078
-7751.621,1500,121.60078
-2061.0884,1500,121.60078
1471.3154,1500,121.60078
1403.5299,1500,121.60078
