#{"t_start": 1761222238.0564337, "env_id": "None"}
r,l,t
1360.4293,1500,20.694872
-1770.7133,1500,20.751356
443.04752,1500,20.751356
-3846.0269,1500,20.751356
-701.53766,1500,20.751356
1376.1942,1500,20.751356
1467.5675,1500,20.751356
654.6781,1500,20.751356
1445.1277,1500,28.541239
1233.6226,1500,28.541239
877.081,1500,28.541239
-5682.7026,1500,28.541239
844.84924,1500,28.541239
-4148.017,1500,28.541239
1478.9686,1500,28.541239
-139.84245,1500,28.541239
-1214.6575,1500,34.208025
1373.8901,1500,34.208025
80.151855,1500,34.208025
554.11646,1500,34.208025
1168.9761,1500,34.208025
1004.3471,1500,34.208025
1494.5774,1500,34.208025
1485.9524,1500,34.208025
-748.18427,1500,39.221095
-431.91736,1500,39.221095
-86.316956,1500,39.221095
1349.5992,1500,39.221095
692.1368,1500,39.221095
-1375.9866,1500,39.221095
1416.2731,1500,39.221095
989.8621,1500,39.221095
-1437.8223,1500,43.899467
1347.8884,1500,43.899467
52.93086,1500,43.899467
1498.445,1500,43.899467
1436.4069,1500,43.899467
1280.6293,1500,43.899467
-2891.1267,1500,43.899467
1461.4297,1500,43.899467
939.93164,1500,48.205833
1108.9657,1500,48.205833
424.21808,1500,48.205833
1453.7275,1500,48.205833
1399.3263,1500,48.205833
573.00244,1500,48.205833
-2106.5183,1500,48.205833
-9.494704,1500,48.205833
-1749.7659,1500,65.723307
968.25494,1500,65.723307
830.5308,1500,65.723307
1135.6908,1500,65.723307
1438.6982,1500,65.723307
1304.684,1500,65.723307
1371.4902,1500,65.723307
-69.915794,1500,65.723307
-14587.227,1500,70.06829
1470.5779,1500,70.06829
-6916.6665,1500,70.06829
1468.2083,1500,70.06829
1335.5747,1500,70.06829
1365.1508,1500,70.06829
1399.4911,1500,70.070295
1475.3466,1500,70.070295
898.50775,1500,74.809362
1475.5692,1500,74.809362
1467.0812,1500,74.809362
1360.9768,1500,74.809362
1499.8976,1500,74.809362
1375.6215,1500,74.810374
801.6459,1500,74.810374
1499.2299,1500,74.810374
337.91006,1500,78.92818
866.1621,1500,78.92818
1484.3258,1500,78.92818
1461.9725,1500,78.92818
880.9088,1500,78.92818
1478.0834,1500,78.92818
1495.4384,1500,78.92818
-2145.5032,1500,78.92818
-806.18616,1500,84.09692
1482.3315,1500,84.09692
1458.2599,1500,84.09692
1267.0448,1500,84.09692
1368.7336,1500,84.09692
1475.708,1500,84.09692
1420.6733,1500,84.09692
1387.101,1500,84.09692
1065.3783,1500,87.505387
-3193.6802,1500,87.505387
1461.5317,1500,87.505387
1462.0265,1500,87.505387
1289.3881,1500,87.505387
1410.3866,1500,87.505387
1483.1344,1500,87.505387
1477.6123,1500,87.505387
918.7826,1500,91.614853
-3113.1099,1500,91.615846
-812.9942,1500,91.615846
1463.8413,1500,91.615846
968.5601,1500,91.615846
1258.9651,1500,91.615846
946.3161,1500,91.615846
806.4251,1500,91.615846
177.41263,1500,102.325522
1480.5815,1500,102.325522
1290.6434,1500,102.325522
1471.9556,1500,102.325522
1445.6249,1500,102.325522
1486.0542,1500,102.325522
285.10873,1500,102.325522
1499.7214,1500,102.325522
1499.6488,1500,105.622543
-975.8588,1500,105.622543
1381.9409,1500,105.622543
1398.6913,1500,105.622543
1480.1193,1500,105.622543
1458.1732,1500,105.622543
1116.8925,1500,105.622543
879.88226,1500,105.622543
1234.9706,1500,109.931385
1141.4034,1500,109.931385
1090.2256,1500,109.931385
1482.6432,1500,109.931385
-2394.1697,1500,109.931385
1361.1466,1500,109.931385
1453.7592,1500,109.931385
1460.9973,1500,109.931385
1343.5056,1500,113.121312
1169.4792,1500,113.121312
1297.3706,1500,113.121312
1336.7837,1500,113.121312
1412.0548,1500,113.121312
1062.8046,1500,113.121312
1454.6542,1500,113.121312
1231.0092,1500,113.121312
1469.439,1500,117.549964
16.450691,1500,117.551095
1491.3146,1500,117.551095
1476.7822,1500,117.551095
1393.5314,1500,117.551095
1455.9751,1500,117.551095
1409.8379,1500,117.551095
1050.4236,1500,117.551095
-4052.7249,446,118.244178
1289.5398,1500,120.844603
1051.5359,1500,120.844603
849.64496,1500,120.845603
1495.0669,1500,120.845603
1349.4175,1500,120.845603
1466.2737,1500,120.845603
-656.85565,1500,120.845603
1428.3916,1500,122.49061
1182.4279,1500,125.079395
1440.5884,1500,125.079395
1108.0583,1500,125.079395
1410.8516,1500,125.079395
-338.1755,1500,125.079395
1333.4062,1500,125.079395
1310.4019,1500,125.079395
-23876.84,409,133.359818
1378.3844,1500,133.427739
1356.9458,1500,136.267294
-1485.8447,1500,136.268295
1489.6233,1500,136.268295
-81.21196,1500,136.268295
1283.5798,1500,136.268295
-1410.3923,1500,136.268295
1461.2272,1500,138.08852
1422.3978,1500,138.158242
1469.1223,1500,140.777029
1448.9443,1500,140.777029
1415.3948,1500,140.777029
1493.0408,1500,140.777029
1443.6036,1500,140.777029
1405.0679,1500,140.777029
1440.7808,1500,141.451293
1409.3356,1500,141.588942
1468.5048,1500,144.464762
1471.3364,1500,144.464762
1432.7959,1500,144.464762
1127.4614,1500,144.464762
943.69354,1500,144.464762
1421.5938,1500,144.464762
1464.8491,1500,146.439723
-542.833,1500,146.524358
1357.8643,1500,149.367009
1465.77,1500,149.368266
1491.2278,1500,149.368266
1293.7976,1500,149.368266
1453.9884,1500,149.368266
1472.0464,1500,149.368266
1495.0647,1500,149.922551
1237.5874,1500,150.000752
-1132.2084,1500,152.563174
-15045.365,1500,152.563174
763.4573,1500,152.563174
1405.3989,1500,152.563174
1366.2722,1500,152.563174
1439.1344,1500,152.563174
-74572.67,397,154.470986
1489.2255,1500,154.512949
1478.1075,1500,154.610924
1442.1511,1500,157.79271
-7751.621,1500,157.79271
-2061.0884,1500,157.79271
1471.3154,1500,157.79271
1403.5299,1500,157.79271
-38091.38,192,158.091997
1472.3385,1500,158.430402
1462.9277,1500,158.465798
1484.767,1500,158.551136
1387.7057,1500,169.316067
526.52966,1500,169.316067
1439.9152,1500,169.316067
1394.4843,1500,169.316067
-5565.286,71,169.423353
1323.9865,1500,169.623956
1330.3542,1500,169.938877
403.7076,1500,169.975713
1406.6854,1500,170.050324
-24160.229,1095,172.156294
1493.4808,1500,173.803488
1490.1571,1500,173.803488
1167.6058,1500,173.803488
1466.8881,1500,174.129942
1488.2681,1500,174.449403
1368.2257,1500,174.479694
1242.0393,1500,174.552955
-17279.867,333,174.675385
1482.7931,1500,176.711748
1114.2107,1500,177.225774
1453.6,1500,177.225774
1476.7596,1500,177.225774
-23577.562,1355,177.860066
1478.1886,1500,177.911901
736.5764,1500,177.941267
1453.7913,1500,177.995536
1482.9027,1500,180.111266
1460.3018,1500,180.641197
1214.2415,1500,180.641197
1412.9141,1500,180.641197
1372.6392,1500,182.228081
1439.036,1500,182.270547
1094.989,1500,182.305864
1437.9385,1500,182.372079
1448.4535,1500,184.49507
1482.712,1500,185.033181
1474.5544,1500,185.033181
1497.4714,1500,185.033181
1309.4578,1500,185.61075
1473.4293,1500,185.667815
1283.6302,1500,185.695452
926.4453,1500,185.761141
1438.7274,1500,187.799835
1270.2172,1500,188.357633
-121.23828,1500,188.357633
-1271.5472,1500,188.357633
1474.7156,1500,189.91918
924.08826,1500,189.955392
-277.37753,1500,189.986019
1499.9753,1500,190.058398
1478.4866,1500,192.250618
1446.1624,1500,192.736581
1444.6415,1500,192.736581
1354.4082,1500,192.736581
1477.9868,1500,193.368907
1227.188,1500,193.418713
-305.59628,1500,193.446652
1290.4491,1500,193.508449
1218.5759,1500,202.895097
1499.7249,1500,203.434876
1499.8389,1500,203.435877
-63149.08,1500,203.435877
1499.2494,1500,205.047942
1220.2024,1500,205.09216
1423.7854,1500,205.119856
-61193.688,1500,205.186421
-101668.9,569,206.000243
1499.7446,1500,206.328326
-12881.424,182,207.610767
1445.6632,1500,207.865295
1499.8662,1500,207.865295
1401.1646,1500,207.865295
-64102.215,630,208.001507
1179.5066,1500,208.440305
1446.5833,1500,208.51134
1014.07446,1500,208.56705
-25783.602,1150,210.626566
1477.274,1500,210.932829
1262.3208,1500,211.181702
1348.5361,1500,211.183702
1395.1122,1500,211.329698
1139.0574,1500,212.752501
1037.4901,1500,212.811856
1412.5752,1500,212.881956
-61477.234,826,212.940832
812.18317,1500,215.361615
1269.7557,1500,215.601221
1499.2728,1500,215.601221
1420.8695,1500,215.758471
1420.9525,1500,216.203453
-16823.898,1500,216.267507
1016.4697,1500,216.329369
1396.9819,1500,216.400413
-77771.64,775,216.829299
-25022.414,920,218.69549
1453.3121,1500,218.754611
1475.5691,1500,219.000993
1499.2885,1500,219.198136
-52677.04,1359,219.548606
1061.7812,1500,220.69055
1489.6534,1500,220.802792
1489.759,1500,221.311804
-76214.37,1124,221.626819
469.87048,1500,222.157861
1238.0609,1500,223.438022
1499.1216,1500,223.586137
760.9875,1500,223.938684
1107.5195,1500,224.024434
1386.5793,1500,224.127348
923.5226,1500,224.672852
1144.2268,1500,225.98841
1309.7423,1500,226.531633
-31767.473,120,226.728468
1421.0935,1500,226.826923
1392.9001,1500,233.863122
-2128.557,1500,234.246717
673.78595,1500,234.320129
-12235.471,1143,235.543355
1482.3262,1500,235.603016
1026.1796,1500,236.369031
1295.4795,1500,238.059895
978.6797,1500,238.145943
1488.3416,1500,238.292542
1475.6547,1500,238.658794
1252.8114,1500,238.738186
1112.125,1500,238.808574
1474.9592,1500,238.869287
1056.9788,1500,240.783143
1499.5157,1500,241.563163
935.4348,1500,241.648062
1313.2545,1500,241.817455
1147.2996,1500,242.177273
885.3788,1500,242.253405
1473.5609,1500,242.318622
1125.6542,1500,242.374841
