#{"t_start": 1761220028.0559645, "env_id": "None"}
r,l,t
1430.6978,1500,21.471469
-111.4405,1500,21.471469
995.1536,1500,21.471469
-1209.0659,1500,21.471469
366.3691,1500,21.471469
1438.3186,1500,21.471469
1483.0688,1500,21.471469
1035.9645,1500,21.471469
1271.028,1500,27.056529
1409.7075,1500,27.056529
1353.6808,1500,27.056529
1478.4501,1500,27.056529
1258.6874,1500,27.056529
1104.6377,1500,27.056529
1490.4308,1500,27.056529
1311.0629,1500,27.056529
129.40674,1500,34.318017
1479.6536,1500,34.318017
1480.0637,1500,34.318017
1300.3374,1500,34.318017
752.2407,1500,34.318017
1343.9828,1500,34.318017
1266.2866,1500,34.318017
1496.8906,1500,34.318017
-962.31775,1500,39.619427
1495.7703,1500,39.619427
1392.2164,1500,39.619945
1139.3389,1500,39.619945
1141.5397,1500,39.619945
1497.7128,1500,39.619945
1048.469,1500,39.619945
849.33356,1500,39.619945
245.01529,1500,47.055164
1494.6614,1500,47.055164
1161.7916,1500,47.055164
1497.4688,1500,47.055164
1460.6368,1500,47.055164
1121.7661,1500,47.055164
1489.6947,1500,47.055164
1416.0658,1500,47.055164
1028.3722,1500,52.576476
1281.1636,1500,52.576476
1357.5985,1500,52.576476
1275.3662,1500,52.576476
1437.0787,1500,52.576476
274.49747,1500,52.576476
-2555.0535,1500,52.576476
-686.66016,1500,52.576476
1481.9519,1500,72.574012
1066.6842,1500,72.574012
1377.2917,1500,72.574012
-61.026436,1500,72.574012
1499.5637,1500,72.574012
1364.0222,1500,72.574012
1274.8247,1500,72.574012
980.447,1500,72.574012
911.3379,1500,78.538795
1471.6862,1500,78.538795
1476.3412,1500,78.538795
1466.201,1500,78.538795
1471.1033,1500,78.538795
1481.6842,1500,78.538795
740.849,1500,78.538795
1492.912,1500,78.538795
-2682.4185,1500,85.360206
1442.535,1500,85.360206
1499.4897,1500,85.360206
1464.5431,1500,85.360206
1499.5165,1500,85.360206
1159.4069,1500,85.360206
1425.6542,1500,85.360206
1119.0316,1500,85.360206
1472.702,1500,91.022615
1024.2903,1500,91.022615
1238.9954,1500,91.022615
1362.2329,1500,91.022615
1400.3586,1500,91.022615
1287.8271,1500,91.022615
1395.0438,1500,91.022615
1445.4655,1500,91.022615
1487.8593,1500,97.58388
1472.1282,1500,97.58388
1469.7589,1500,97.58388
1481.2784,1500,97.58388
1250.6418,1500,97.58388
-681.0667,1500,97.58388
1471.3517,1500,97.58388
980.6325,1500,97.58388
1160.3544,1500,103.144672
948.00964,1500,103.144672
1274.4459,1500,103.144672
1477.3088,1500,103.144672
1471.471,1500,103.144672
1498.9666,1500,103.144672
1434.3788,1500,103.144672
1494.6262,1500,103.144672
1490.7039,1500,110.777578
1440.3258,1500,110.777578
1422.8263,1500,110.777578
1499.2617,1500,110.777578
1461.8135,1500,110.777578
1488.8386,1500,110.777578
1064.578,1500,110.777578
1418.7112,1500,110.777578
1457.6887,1500,131.675869
1331.4398,1500,131.675869
1467.8466,1500,131.675869
1461.1611,1500,131.675869
1487.8984,1500,131.675869
1489.8811,1500,131.675869
1462.4712,1500,131.675869
1416.0371,1500,131.675869
1489.323,1500,137.386188
1474.8732,1500,137.386188
-469.49005,1500,137.386188
1483.3442,1500,137.386188
1486.4137,1500,137.386188
1327.2915,1500,137.386188
1247.329,1500,137.386188
-3941.9023,1500,137.388194
-12141.555,585,140.550258
1468.2947,1500,144.775847
1195.5621,1500,144.775847
1477.0468,1500,144.775847
1454.39,1500,144.775847
1205.1442,1500,144.775847
1499.744,1500,144.775847
1294.448,1500,144.775847
1485.6381,1500,147.896947
1047.7059,1500,150.561855
1441.2916,1500,150.561855
1027.2314,1500,150.561855
1437.5673,1500,150.561855
1191.8768,1500,150.561855
1408.369,1500,150.561855
1281.0695,1500,150.561855
1448.8953,1500,153.762258
1029.5559,1500,157.814674
1492.4191,1500,157.814674
1433.8861,1500,157.814674
1456.2714,1500,157.814674
1499.2168,1500,157.814674
-12963.124,1500,157.814674
1409.0883,1500,157.814674
1480.9526,1500,159.401812
574.5402,1500,163.629007
1349.0817,1500,163.629007
1479.0575,1500,163.629007
1486.5604,1500,163.629007
1486.6208,1500,163.629007
968.5689,1500,163.629007
1300.2783,1500,163.629007
1437.6626,1500,166.92089
627.5063,1500,170.940736
1344.326,1500,170.940736
-8410.417,1500,170.940736
-1063.6708,1500,170.940736
1281.3505,1500,170.940736
1430.959,1500,170.940736
1435.6892,1500,170.940736
1335.4585,1500,184.981955
1458.1144,1500,188.960745
1453.8435,1500,188.960745
1480.8578,1500,188.960745
1243.4353,1500,188.960745
1432.896,1500,188.960745
1424.498,1500,188.960745
1370.4396,1500,188.960745
1499.698,1500,191.881594
-426.65875,1500,195.752369
1335.0657,1500,195.752369
1467.8148,1500,195.752369
1315.3395,1500,195.752369
1339.6372,1500,195.752369
1492.3806,1500,195.753742
-1187.8335,1500,195.753742
1445.5061,1500,197.277831
1445.5347,1500,201.125669
1466.6284,1500,201.125669
1329.0525,1500,201.125669
1494.6796,1500,201.125669
1444.219,1500,201.125669
1381.634,1500,201.125669
1452.5449,1500,201.125669
1414.3616,1500,204.159562
1473.2754,1500,208.042879
1477.6095,1500,208.044535
1491.5602,1500,208.044535
1482.5986,1500,208.044535
1423.9515,1500,208.044535
1491.5724,1500,208.044535
1464.5624,1500,208.044535
1460.0369,1500,209.599563
1479.386,1500,213.436363
1452.3983,1500,213.436363
1493.2474,1500,213.436363
1447.384,1500,213.436363
1024.9841,1500,213.436363
1480.0686,1500,213.436363
1400.3914,1500,213.436363
1471.3319,1500,216.445341
592.3952,1500,220.294206
1360.0938,1500,220.294206
1499.9685,1500,220.294206
1378.8148,1500,220.294206
1454.7391,1500,220.294206
1499.6179,1500,220.294206
1373.52,1500,220.294206
1439.5118,1500,221.799081
1476.264,1500,237.548358
1313.4686,1500,237.548358
952.5465,1500,237.548358
1442.0492,1500,237.548358
1341.6011,1500,237.548358
1489.1548,1500,237.548358
1065.6498,1500,237.548358
1464.4923,1500,240.492996
1490.8025,1500,244.431563
1475.617,1500,244.431563
1465.1937,1500,244.431563
1441.3495,1500,244.431563
1462.5139,1500,244.431563
1471.996,1500,244.431563
1283.13,1500,244.431563
1462.3019,1500,245.933414
1425.2365,1500,249.799562
1187.87,1500,249.799562
1472.8383,1500,249.799562
1472.5029,1500,249.799562
1457.6039,1500,249.799562
1417.0165,1500,249.799562
1397.1923,1500,249.799562
1185.0066,1500,252.728047
1475.3263,1500,255.184144
1434.9515,1500,255.184144
1453.3312,1500,255.184144
1493.7109,1500,255.184144
1421.248,1500,255.184144
-11548.55,1500,255.184144
1456.3826,1500,255.184144
-28378.35,301,257.485301
-886.806,372,257.717734
1495.2104,1500,258.311407
1139.4143,1500,262.189896
1422.8102,1500,262.189896
1423.1976,1500,262.189896
1395.9491,1500,262.189896
1472.8212,1500,262.189896
-11635.363,83,262.418873
1455.0087,1500,263.062269
1455.7028,1500,263.270351
1458.7802,1500,263.855502
1498.5397,1500,267.836635
1488.3337,1500,267.836635
1481.8776,1500,267.836635
1328.0653,1500,267.836635
1482.3771,1500,268.064678
1471.2322,1500,270.072455
1441.4291,1500,270.264555
1433.1565,1500,270.866922
-12743.437,1073,273.995832
-17821.46,168,274.470542
1432.1835,1500,274.959847
1470.7074,1500,274.959847
1365.4125,1500,274.959847
1357.7426,1500,274.960274
1272.0233,1500,275.765948
1268.753,1500,275.986612
-1204.9705,1500,291.174964
1484.2864,1500,295.179582
1495.0853,1500,295.758488
1467.4001,1500,295.758488
994.6256,1500,295.758488
1488.8214,1500,295.758488
1475.6489,1500,298.58942
