#{"t_start": 1761653778.1964905, "env_id": "None"}
r,l,t
-1259.6459,56,9.66669
-6654.6606,61,9.722866
-438.40466,69,9.797386
-7440.228,74,9.861555
-6267.017,107,10.071856
-5772.117,107,10.071856
-5714.221,121,10.178441
-6208.13,93,10.602106
-5277.4473,93,10.791041
-3056.075,78,10.918487
-10117.933,192,11.001446
-13508.741,146,11.175559
-7910.5376,146,11.233497
-4299.7046,103,11.26702
-3570.339,51,11.426349
-1042.6796,75,11.512315
-4101.251,158,11.599384
-667.12744,77,11.683809
-80.77243,91,11.774
-1246.605,116,11.928957
-6521.2573,159,12.170568
-434.69073,48,12.231291
-727.4275,84,12.254203
-8583.045,182,12.301733
-5906.679,108,12.483803
-5822.1543,49,12.484605
-2267.05,99,12.522993
-4837.121,63,12.647922
-1596.158,41,12.740751
-10016.291,122,12.773896
-8000.0474,150,12.849233
-674.4305,59,12.903058
-10788.83,124,12.949912
-206.0547,51,12.97561
-4330.905,97,12.997074
-5203.126,58,13.042297
-3559.4438,155,13.080763
-7974.5293,117,13.103518
-345.83725,43,13.184632
-691.2971,66,13.244875
-10874.111,82,13.275841
-647.46533,66,13.391954
-4629.507,75,13.471835
-4786.9375,53,13.541694
-1974.7836,74,13.565933
-4140.357,131,13.628672
-5967.969,90,13.690231
-7334.4814,152,13.738393
-7510.434,133,13.756215
-903.9227,46,13.786444
-1970.4603,64,13.787444
-5800.9023,105,13.866603
-573.37366,52,13.884342
-465.17154,34,13.913597
-7339.644,87,13.963615
-4243.0557,50,13.995721
-4759.1655,70,14.02954
-998.85315,58,14.051711
-1459.0549,45,14.223984
-5611.238,81,14.345213
-3386.9937,116,14.366508
-46.584503,92,14.393905
-1459.3138,68,14.422395
-8243.658,116,14.634645
-8221.496,150,14.661883
-6984.922,116,14.661883
-1519.46,62,14.661883
-204.31534,73,14.721211
-1772.3485,91,14.768908
-5015.883,118,14.953557
-5701.24,55,14.983573
-517.3214,74,15.03988
-288.7339,71,15.083572
-7934.8286,184,15.12016
-1889.6177,99,15.133683
-5179.6313,82,15.171918
-2175.9924,118,15.185925
-3632.6206,53,15.225713
-7295.2476,72,15.225713
-2216.1477,82,15.265099
-4909.16,62,15.32666
-3450.7568,64,15.382104
-617.9711,95,15.404446
-4367.105,69,15.42297
-5891.8267,59,15.443883
-4176.263,73,15.484318
-2937.133,66,15.500931
-7837.2715,115,15.550677
-107.94896,42,17.024219
-3192.0,72,17.046507
-305.103,67,17.088016
-5524.451,60,17.134621
-5157.196,92,17.187766
-3472.823,83,17.212198
-7541.642,67,17.241334
-4048.662,70,17.303574
-10205.333,139,17.329797
-7343.7954,100,17.352136
-811.1752,66,17.396652
-7502.368,138,17.414864
-2663.8901,53,17.458653
-9426.411,124,17.513752
-6662.7363,77,17.555607
-4452.5156,125,17.600956
-109.56387,70,17.616901
-5815.3164,103,17.727369
-14522.725,177,17.727369
-5535.356,75,17.75012
-1779.9194,133,17.769817
-10292.699,109,17.802268
-4971.151,71,17.835593
-5002.9634,61,17.914877
-87.94968,76,17.934833
-6568.991,125,17.969658
-966.98236,76,18.003582
-3588.4375,154,18.020267
-5979.5073,68,18.032429
-12728.019,98,18.059278
-2410.9106,39,18.084413
-8610.85,153,18.178429
-3635.2622,54,18.190446
-2251.9631,66,18.20388
-1932.1797,84,18.228328
-143.4899,63,18.255919
-2022.7722,78,18.316181
-3908.8855,95,18.34908
-5834.853,82,18.43516
-7867.0244,70,18.450965
-1669.5956,102,18.522797
-7265.1963,135,18.589772
-194.88405,140,18.607627
-3893.4,62,18.630057
-5067.3345,119,18.659276
-8094.0967,235,18.720083
-3161.06,73,18.73823
-5123.94,63,18.792575
-7662.298,161,18.8121
-4430.521,65,18.838701
-3214.467,146,18.885193
-3979.0474,77,18.955531
-4828.8213,75,18.955531
-7814.3247,64,18.980619
-8181.355,117,19.013802
-8584.182,151,19.066055
-5908.463,96,19.107472
-1530.1217,53,19.128134
-1968.9954,109,19.187904
-5562.2954,77,19.204217
-5511.5776,109,19.262139
-390.17065,63,19.29376
-502.7447,70,19.312279
-1095.1355,46,19.341299
-6969.8213,121,19.431759
-2965.8862,163,19.514901
-4352.6436,104,19.591166
-16222.886,270,19.608573
-1960.1608,91,19.622256
-2647.6355,55,19.654882
-6259.8345,150,19.669278
-5380.4004,144,19.720965
-5892.5615,106,19.732648
-6285.3735,154,19.76217
-5925.2656,60,19.813677
-6841.163,106,19.867364
-4444.5674,78,19.91008
-5564.4316,55,19.942774
-3237.5046,80,19.958513
-4286.327,44,19.988038
-4573.5845,170,21.262633
-4278.611,164,21.290809
-893.12335,55,21.342901
-7959.591,203,21.364672
-1712.6437,73,21.364672
-5905.349,169,21.395792
-946.60815,85,21.420426
-2803.5479,52,21.488831
-414.91687,91,21.522238
-4317.0894,154,21.54354
-5752.7324,106,21.556158
-396.39825,79,21.595192
-6253.716,96,21.62224
-2005.8344,97,21.664512
-1002.4099,55,21.717217
-4001.9546,74,21.735248
-4752.2207,65,21.776112
-2490.6184,96,21.776112
-7111.3276,58,21.806746
-4962.8394,119,21.806746
-503.6238,61,21.877888
-7684.2534,58,21.943669
-1262.1378,49,21.956384
-14314.931,250,22.015393
-6193.297,80,22.033924
