#{"t_start": 1761275657.5072408, "env_id": "None"}
r,l,t
94.05573,83,3.387531
73.17502,84,3.40102
88.47948,96,3.442775
97.30048,96,3.442775
143.79062,119,3.509305
141.81302,119,3.510292
139.7237,129,3.546812
191.74898,148,3.591983
74.46342,88,3.635747
90.44211,83,3.654787
114.17203,88,3.66939
130.19383,113,3.702673
134.97786,104,3.75255
106.14507,101,3.768841
137.61066,114,3.782489
92.0224,92,3.800692
122.78155,95,3.851768
90.637245,88,3.863237
72.36055,84,3.894072
94.64054,103,3.911808
68.00718,80,3.956793
101.71562,89,3.967926
92.52107,82,3.984379
123.29668,95,4.026705
98.7022,97,4.076748
113.90452,106,4.099681
93.85336,88,4.111563
111.42789,95,4.122558
77.60262,81,4.172125
94.61262,94,4.19718
132.90741,118,4.285205
183.95137,147,4.30309
119.41401,92,4.324339
128.52347,99,4.350241
114.24966,88,4.376791
133.72243,115,4.39396
174.79982,135,4.422352
135.2694,132,4.556526
93.11405,93,4.606834
131.99635,107,4.628097
93.5307,93,4.628097
72.19347,85,4.677398
107.80097,111,4.706548
115.77483,119,4.734063
98.66867,85,4.765359
73.13943,84,4.796418
106.4687,91,4.827489
120.53347,93,4.838669
112.17903,99,4.893725
70.93185,83,4.921851
119.294495,101,4.939181
255.78023,225,4.956553
106.357285,92,4.987148
147.95201,114,5.066797
107.3134,83,5.108789
90.26459,82,5.133609
154.28864,127,5.161501
87.815544,83,5.179631
171.80739,145,5.223242
124.420975,96,5.258396
125.398674,125,5.287976
92.06525,83,5.340765
90.16342,85,5.370222
116.66884,107,5.370222
106.769356,95,5.411562
114.12175,100,5.424563
111.43843,86,5.468546
73.13507,87,5.504308
145.02,142,5.559468
121.98312,94,5.590677
115.67836,101,5.614563
73.657295,85,5.632827
81.95098,91,5.657807
159.17625,141,5.701856
88.1543,83,5.712856
119.944725,110,5.742351
91.72009,87,6.976587
93.63364,89,7.028599
98.783165,84,7.078707
105.049385,102,7.100606
125.80443,105,7.130888
110.304565,85,7.154694
124.46736,115,7.245242
97.34447,84,7.264328
113.125626,108,7.284795
114.07971,88,7.370826
80.93207,93,7.406646
88.421616,89,7.426702
93.06314,85,7.445099
136.38359,133,7.490828
70.198555,84,7.546958
74.60542,86,7.573788
71.25132,85,7.594573
80.58256,83,7.698877
64.61424,81,7.74852
74.80103,89,7.778419
110.843,101,7.84653
93.1363,84,7.876486
91.67457,92,7.914068
169.5028,141,7.936933
134.35617,122,7.991148
90.064896,98,8.026419
87.07745,95,8.060401
87.52521,98,8.126943
108.959274,84,8.160896
121.286125,102,8.236786
185.79889,153,8.249418
143.74574,123,8.274429
97.70136,103,8.310679
115.8593,102,8.337869
101.50376,106,8.382038
107.69003,95,8.440542
109.1195,103,8.477865
78.21819,88,8.4999
104.94162,90,8.525358
136.28769,105,8.559078
98.99595,95,8.576897
132.2523,102,8.616768
99.38558,89,8.67501
79.1869,82,8.691624
156.70757,133,8.734636
75.719055,86,8.754061
112.98035,108,8.791486
88.80307,97,8.81649
112.518265,87,8.864013
125.05401,125,8.908246
90.44456,91,8.986902
129.90009,112,9.003831
70.570244,83,9.022364
97.77562,86,9.053008
146.25227,134,9.066777
72.11775,87,9.10095
132.9416,132,9.115651
79.98005,90,9.159183
121.93996,94,9.236676
95.41225,82,9.253051
116.29872,102,9.268555
131.01736,101,9.288696
104.58797,93,9.309536
114.02306,88,9.337022
159.83565,135,9.414993
110.31544,85,9.456661
84.22321,84,9.473129
131.04881,101,9.504865
169.76125,152,9.536457
98.678795,107,9.57668
157.10861,149,9.636804
100.76469,88,9.670824
97.59037,84,9.707018
84.57583,95,9.760491
115.48884,89,9.806943
228.02608,187,9.822568
122.13359,122,9.833991
68.31051,81,9.888869
140.45479,136,9.910541
108.61698,105,9.929699
122.03216,94,9.967146
98.77811,104,11.441754
151.1248,134,11.486712
117.02269,118,11.496753
143.82768,123,11.509041
117.86912,91,11.534948
67.960945,80,11.554792
101.20386,109,11.565329
149.67001,124,11.616505
91.936935,86,11.679181
112.418816,87,11.726666
121.85733,94,11.740606
79.12069,82,11.758682
119.589584,100,11.774996
117.8123,103,11.813394
120.679474,103,11.831687
115.471596,101,11.887747
85.297935,81,11.921263
103.47332,85,12.009384
116.76487,90,12.04643
78.354294,89,12.065859
85.64128,81,12.128438
94.98824,91,12.152341
100.05386,105,12.163197
95.390076,82,12.198444
112.44278,87,12.26645
110.188126,85,12.287549
112.539055,87,12.306891
125.87812,125,12.320337
67.0743,80,12.341797
