#{"t_start": 1761237825.3337212, "env_id": "None"}
r,l,t
1499.7755,1500,23.262349
1499.973,1500,23.264346
619.974,625,35.556208
841.30304,852,36.957385
253.68428,265,37.200181
191.69717,200,38.164325
181.53906,190,42.065045
300.76138,310,43.678876
1499.3958,1500,57.612062
1453.1332,1471,62.56953
389.41122,404,63.462663
632.8569,643,70.027098
105.17381,109,70.661297
124.0805,129,75.203505
756.0219,770,75.452417
106.56608,115,75.901971
118.82096,124,76.185394
113.71455,120,76.635198
142.99876,146,77.059191
166.91315,175,77.662587
139.65132,148,81.993993
111.8958,115,82.50028
111.63618,124,82.829073
70.722015,77,82.956866
60.967907,65,83.239356
172.68488,176,83.96611
164.74374,171,84.213262
66.03883,70,84.721077
122.305305,129,84.839338
76.85158,80,89.101157
153.47357,158,89.474314
147.9209,152,90.024761
99.454704,107,90.111272
102.78208,110,90.697803
158.96045,167,91.10245
85.53974,92,91.238954
110.325005,113,95.710075
127.12352,136,95.735256
78.10621,83,96.19822
95.89194,104,96.337068
57.948174,62,96.56234
99.024376,104,96.939306
148.36655,156,97.444417
92.53661,100,97.517977
62.825954,69,97.924044
81.242615,88,97.992199
70.273346,75,98.433727
124.69106,127,102.438268
87.33807,90,102.939176
134.97386,140,102.999013
53.684853,59,103.28836
94.0411,100,103.861736
163.39276,169,103.977138
61.404762,65,104.271262
80.90277,86,104.501777
77.4286,87,104.774179
74.03486,78,104.955519
71.96382,78,105.225891
118.890686,122,109.23562
62.853134,70,109.623107
148.98662,158,109.714308
67.32779,73,110.049417
133.89456,139,110.531829
228.29718,234,111.450326
179.06627,186,111.651742
82.344315,86,111.975189
159.54138,165,116.206022
116.936584,121,116.27595
124.43788,129,116.95158
155.71245,160,117.193289
69.58472,74,117.627306
152.16777,159,117.904124
97.67396,103,118.300698
119.26118,124,122.27416
126.34343,131,122.665251
79.191154,88,122.798201
106.28079,110,123.296275
172.03232,187,123.843424
107.51402,118,123.967299
57.849876,63,124.235476
65.95674,71,124.423174
109.89292,114,124.917034
105.35421,115,125.08855
113.62549,121,129.5673
143.95903,152,129.932426
83.80602,90,130.150924
143.10606,147,130.87709
140.68428,149,131.087319
87.67989,93,131.483703
117.94949,132,131.906256
152.47008,158,136.353149
107.8456,111,136.518184
65.96231,76,136.981879
143.35376,149,137.285285
91.75326,103,137.885063
156.7072,166,140.113279
116.31645,121,140.730199
158.66222,164,141.070867
155.59334,163,146.020879
244.73326,258,146.290974
90.78276,100,147.128203
245.84496,254,148.055235
163.52676,168,148.533177
104.83261,113,149.13424
143.62425,151,154.415456
151.99391,163,155.568773
249.33208,254,155.597512
83.415016,88,156.228832
105.478134,112,157.005739
226.24236,235,157.225969
68.12361,77,157.524736
148.39648,156,162.320718
145.43326,150,162.575918
211.77097,218,163.699039
270.07056,283,164.283026
136.51318,146,168.702456
479.2624,490,170.036309
236.73131,243,170.060017
95.42906,100,170.628349
257.82553,265,175.059744
192.4361,203,175.276173
141.8161,155,176.119244
224.68538,239,176.402874
141.43114,146,177.035186
180.25044,189,177.561794
468.85477,493,183.522072
1478.81,1500,197.395923
1498.1315,1500,203.448389
469.18393,477,209.70906
895.268,923,210.009814
259.45135,270,215.185997
1497.1713,1500,229.172168
1499.4622,1500,234.689356
1499.9567,1500,250.597718
1499.995,1500,256.435472
1499.6267,1500,271.64065
1486.2578,1500,273.77335
892.3942,912,289.868687
767.8842,787,291.151078
198.29573,202,291.275459
175.83824,198,292.945365
213.64384,224,293.267127
103.65085,112,298.030748
167.34898,181,298.230294
138.34349,143,298.938403
97.563034,107,299.673567
285.997,304,300.22259
103.91428,110,300.404914
95.37548,104,304.556255
125.97854,130,305.407735
237.13617,241,305.628078
84.76004,95,306.028178
109.013756,115,306.81471
167.83783,178,306.833033
103.43096,107,307.483858
138.72656,142,307.728037
121.80222,134,312.229135
198.33846,210,312.497992
135.96361,144,313.153465
191.7297,201,313.782789
205.22473,209,314.472687
161.05196,164,318.495861
270.919,276,320.306115
342.23956,354,320.483548
139.86487,145,321.391125
166.5586,175,326.179042
555.85394,582,327.687823
118.0685,126,328.524086
366.26633,387,334.553367
1498.0222,1500,346.454437
1499.6628,1500,354.763187
1497.1848,1500,366.860892
1499.9896,1500,375.375784
1499.9941,1500,388.044747
867.31696,878,388.749945
236.49635,246,389.428344
214.15231,221,390.013725
193.57265,200,390.565375
261.84854,271,395.353375
321.32138,335,396.40985
176.20729,190,396.582655
84.89361,88,397.094462
138.15274,150,397.307818
212.31256,217,402.317147
120.9779,144,403.413291
127.669,132,404.388011
142.02583,145,409.669119
943.47144,951,412.490533
163.53355,170,418.363726
118.84062,129,419.053236
279.77258,284,423.16985
142.56445,146,427.651904
1165.2583,1183,428.267525
137.43098,142,428.526276
214.0955,220,429.805478
331.588,342,433.833716
203.46513,207,434.506891
212.2399,226,435.113104
176.44995,183,435.542152
147.02386,162,436.03762
229.55237,239,441.262203
1498.8054,1500,456.349691
1497.1096,1500,457.213116
177.11461,181,461.022753
1499.8353,1500,476.77546
1499.897,1500,476.955326
757.2277,765,488.565222
1499.4454,1500,496.130479
1497.2489,1500,509.207064
1496.8951,1500,516.946947
1499.3572,1500,528.878287
1499.9502,1500,536.41575
1499.9161,1500,548.006301
1499.7484,1500,590.406224
1499.3071,1500,603.19843
831.2989,835,603.448735
99.2871,104,603.804392
149.30576,159,604.385608
105.97862,110,604.471516
113.49712,117,605.079041
157.58904,167,605.449935
109.59239,114,609.367979
203.2258,210,610.270861
238.11923,250,610.789663
201.18536,205,611.551644
